Name,Subtitles,season_episode,ners
sandor clegane,Need a hand?,29,[set()]
pig farmer,Need about eight hands.,29,[set()]
pig farmer,Got to get this salt pork to The Twins in time for the wedding.,29,[set()]
pig farmer,Many thanks.,29,[set()]
arya stark,Don't! Don't kill him.,29,"[set(), set()]"
sandor clegane,Dead rats don't squeak.,29,[set()]
arya stark,"You're so dangerous, aren't you? Saying scary things to little girls. Killing little boys and old people. A real hard man you are.",29,"[set(), set(), set(), set()]"
sandor clegane,More than anyone you know.,29,[set()]
arya stark,You're wrong. I know a killer. A real killer.,29,"[set(), set(), set()]"
sandor clegane,That so?,29,[set()]
arya stark,You'd be like a kitten to him. He'd kill you with his little finger.,29,"[set(), set()]"
sandor clegane,That him?,29,[set()]
arya stark,No.,29,[set()]
sandor clegane,Good.,29,[set()]
arya stark,Don't kill him! Please. Please don't.,29,"[set(), set(), set()]"
sandor clegane,You're very kind. Someday it'll get you killed.,29,"[set(), set()]"
osha,Where are we?,29,[set()]
bran stark,"The Gift, I think. Brandon The Builder gave all this land south of the Wall to the Night's Watch for their sustenance and support. Maester Luwin taught me that.",29,"[set(), {'brandon'}, {'luwin'}]"
jojen,Doesn't seem to be supporting anyone at the moment.,29,[set()]
meera,It's good land and there's no war up here. Why leave?,29,"[set(), set()]"
bran stark,Wildlings.,29,[set()]
bran stark,"Sorry. But they come over the Wall and raid, steal, carry off women.",29,"[set(), set()]"
rickon,Old Nan said they turn your skull into a cup and make you drink your own blood from it.,29,[{'nan'}]
rickon,That's what Old Nan said.,29,[{'nan'}]
jojen,There's a storm coming.,29,[set()]
bran stark,I don't see any.,29,[set()]
meera,It's as good a place to shelter as any.,29,[set()]
osha,We can drink some blood while we wait. I don't need much.,29,"[set(), set()]"
orell,Only one old man and eight good horses.,29,[set()]
tormund,What's one old man doing with eight horses?,29,[set()]
jon snow,He breeds them for the Watch.,29,[set()]
ygritte,How's he keep folks from stealing them?,29,[set()]
jon snow,The Watch protects him.,29,[set()]
orell,"Not today they don't. He's selling horses, he's got some gold in there.",29,"[set(), set()]"
tormund,And proper steel.,29,[set()]
orell,Let's carve him up.,29,[set()]
jon snow,We just take the horses and go. The old man's no threat.,29,"[set(), set()]"
orell,I keep telling you.,29,[set()]
ygritte,He's an old man. A spear through the heart's a better way to die than coughing up your last with no one but your horses to hear.,29,"[set(), set()]"
jon snow,The Watch might send a few men looking for a horse thief. They'll send a lot more to hunt down murderers.,29,"[set(), set()]"
tormund,"I hope so. Killing crows in their castle is tough. Killing them out here in the open, that's what we do.",29,"[set(), set(), set()]"
tormund,Spread out. Surround the hut and move in.,29,"[set(), set()]"
jon snow,Ygritte!,29,[{'ygritte'}]
tormund,Clear the barn!,29,[set()]
arya stark,No one's going to believe you're a hog farmer if you eat them all.,29,[set()]
sandor clegane,Best part of the animal.,29,[set()]
sandor clegane,"Don't worry, they're still there.",29,[set()]
arya stark,I know they're still there.,29,[set()]
sandor clegane,You check every five minutes like you're afraid they're gonna move.,29,[set()]
arya stark,I'm not afraid.,29,[set()]
sandor clegane,"Of course you are. You're almost there and you're afraid you won't make it. The closer you get, the worse the fear gets. No point in trying to hide behind that face. I know fear when I see it. Seen it a lot.",29,"[set(), set(), set(), set(), set(), set()]"
arya stark,I knew fear when I saw it in you. You're afraid of fire.,29,"[set(), set()]"
arya stark,"When Beric's sword went up in flames, you looked like a scared little girl.",29,[{'beric'}]
arya stark,"And I know why, too. I heard what your brother did to you. Pressed your face to the fire like you're a nice juicy mutton chop.",29,"[set(), set(), set()]"
sandor clegane,That give you some ideas?,29,[set()]
arya stark,Might do.,29,[set()]
sandor clegane,Go ahead then. You might get away. Might even make it there on your own. They're just over the river. The closest you've been to family since Ilyn Payne snipped your daddy's neck.,29,"[set(), set(), set(), set(), {'ilyn'}]"
arya stark,Someday I'm gonna put a sword through your eye and out the back of your skull.,29,[set()]
bran stark,How are we going to get past the Wall? My uncle said it's 700 feet high.,29,"[set(), set()]"
bran stark,How did you get past it?,29,[set()]
osha,Got in a boat and rowed past the Bay of Seals.,29,[set()]
bran stark,It would take us two months to get to the Bay of Seals.,29,[set()]
osha,Some climb straight up the ice.,29,[set()]
bran stark,Even Hodor's not strong enough to climb the Wall with me on his back.,29,[{'hodor'}]
hodor,Hodor!,29,[{'hodor'}]
jojen,Nineteen castles guard the Wall. Only three are still manned.,29,"[set(), set()]"
jojen,One of those abandoned fortresses will give us a way through.,29,[set()]
bran stark,My uncle said the gates were sealed with ice and stone when the castles were deserted.,29,[set()]
meera,"Well, we'll have to open them up again.",29,[set()]
old man,"Whoa, whoa, whoa!",29,[set()]
meera,There's a rider out there.,29,[set()]
jojen,Just one?,29,[set()]
meera,There's more.,29,[set()]
osha,"It's just thunder, sweet giant.",29,[set()]
hodor,Hodor.,29,[{'hodor'}]
old man,I yield. I yield.,29,"[set(), set()]"
jojen,Wildlings.,29,[set()]
osha,Where's Shaggydog and Summer?,29,[set()]
bran stark,Hunting.,29,[set()]
jojen,"Shhh, quiet, Hodor.",29,[{'hodor'}]
jojen,Make him shut up. If they hear us…,29,"[set(), set()]"
bran stark,"To Hodor] Hush, Hodor. No, no more Hodoring.",29,"[{'hush', 'hodor'}, {'hodoring'}]"
bran stark,"Hodor, calm down.",29,[{'hodor'}]
osha,You need to keep quiet.,29,[set()]
jojen,They're gonna hear us.,29,[set()]
bran stark,"Hodor, be quiet.",29,[{'hodor'}]
bran stark,"Hodor, calm down. Hodor, be quiet!",29,"[{'hodor'}, {'hodor'}]"
meera,What did you do?,29,[set()]
bran stark,Nothing. I don't know.,29,"[set(), set()]"
rickon,What's That?,29,[set()]
osha,That's a horse dying.,29,[set()]
wildling,Bring them over here.,29,[set()]
wildling,That was the last of them. The rest are dead.,29,"[set(), set()]"
orell,I heard shouting up there.,29,[set()]
tormund,Thunder.,29,[set()]
orell,I know the difference between shouting and thunder.,29,[set()]
tormund,Maybe it's ghosts.,29,[set()]
tormund,"That won't help you, grandpa.",29,[set()]
tormund,Where you riding?,29,[set()]
old man,"Doesn't matter now, does it?",29,[set()]
tormund,"No, it doesn't matter now.",29,[set()]
orell,Cut his throat or he'll tell the crows we're here.,29,[set()]
tormund,You understand.,29,[set()]
old man,Let me stand at least.,29,[set()]
old man,Let me go with a bit of dignity.,29,[set()]
orell,Make the crow kill him. You're one of us now. Prove it.,29,"[set(), set(), set()]"
jojen,The wolves are out there.,29,[set()]
bran stark,I can't do it by choice. I don't know how. It happens in my dreams.,29,"[set(), set(), set()]"
jojen,"You're a warg, Bran. It's in your blood.",29,"[{'bran'}, set()]"
bran stark,I can't.,29,[set()]
jojen,"You just did, with him.",29,[set()]
jojen,A wolf is nothing compared to that.,29,[set()]
old man,She looks sharp.,29,[set()]
ygritte,Do it. Do it.,29,"[set(), set()]"
orell,Told ya. He's still one of them.,29,"[set(), set()]"
tormund,"Go on, boy.",29,[set()]
tormund,Go on!,29,[set()]
orell,He's a crow. He'll always be a crow. And here's his crow wife guarding him. He'll stab us in the back first chance he gets.,29,"[set(), set(), set(), set()]"
tormund,Kill him!,29,[set()]
tormund,He's one of them!,29,[set()]
ygritte,No!,29,[set()]
tormund,Do you hear me?,29,[set()]
tormund,You're not gonna die for one of them.,29,[set()]
jojen,Do it. They'll find us if you don't.,29,"[set(), set()]"
jon snow,You were right the whole time.,29,[set()]
daario,"When you hear a songbirdo s whistle, you come. I'm a great whistler, the greatest in the land.",29,"[set(), set()]"
daario,Daario Naharis.,29,[{'daario'}]
daario,That one was quick.,29,[set()]
jorah mormont,There may be others.,29,[set()]
daario,I doubt it. The Yunkish prefer to let their slaves do their fighting for them.,29,"[set(), set()]"
jorah mormont,That's what you call a few guards?,29,[set()]
roslin,"Lord Edmure, I hope I'm not a disappointment to you.",29,[{'edmure'}]
edmure,"You're a delight to me, my lady.",29,[set()]
septon,You may now cloak the bride and bring her under your protection.,29,[set()]
septon,"In the sight of the Seven, I hereby seal these two souls, binding them as one for eternity. Look upon each other and say the words.",29,"[set(), set()]"
edmure roslin,"Father, Smith, Warrior, Mother, Maiden, Crone, Stranger. I am hers and she is mine from this day until the end of my days.",29,"[{'smith'}, set()]"
meera,Is that safe?,29,[set()]
osha,They're long gone.,29,[set()]
bran stark,You were right. I can get inside Summer's mind whenever I want.,29,"[set(), {'summer'}]"
jojen,Of course you can. North of the Wall there are wildlings who can control all sorts of animals. But you did a lot more than that. You got inside Hodor's mind.,29,"[set(), set(), set(), {'hodor'}]"
bran stark,They can't do that north of the Wall?,29,[set()]
jojen,No one can do that. Anywhere.,29,"[set(), set()]"
bran stark,"When I was looking through Summer's eyes, I saw Jon.",29,"[{'summer', 'jon'}]"
rickon,Where?,29,[set()]
bran stark,He was with the wildlings. They tried to kill him but he got away.,29,"[set(), set()]"
osha,He'll be heading back to Castle Black then. That's where we should go.,29,"[set(), set()]"
bran stark,"For all we know, Castle Black's already under attack. If this many wildlings got through-",29,"[set(), set()]"
osha,I already told you. I'm not going north of the Wall.,29,"[set(), set()]"
bran stark,Everything Jojen told me is true. You saw what I did to Hodor. I have to find the three-eyed raven.,29,"[{'jojen'}, {'hodor'}, set()]"
osha,"Listen to me, little lord.",29,[set()]
bran stark,"Don't worry, I'm not asking you to come with me. It won't be safe for Rickon.",29,"[set(), {'rickon'}]"
rickon,Me? I'm coming with you.,29,"[set(), set()]"
bran stark,No. You and Osha and Shaggydog head for the Last Hearth. The Umbers are our bannermen. They'll protect you.,29,"[set(), {'osha', 'shaggydog'}, {'umbers'}, set()]"
rickon,I'm coming with you. I'm your brother. I have to protect you.,29,"[set(), set(), set()]"
bran stark,"Right now, I have to protect you.",29,[set()]
bran stark,"Robb's at war and I'm going beyond the Wall. If something happens to us, you're the heir to Winterfell.",29,"[{'robb'}, set()]"
bran stark,Will you know how to find the last Hearth?,29,[set()]
osha,You Southerners build your big castles and you never move. You're easy to find.,29,"[set(), set()]"
rickon,We're not Southerners.,29,[set()]
rickon,And I don't want to leave you.,29,[set()]
osha,"Shhh. Come here, little soldier. You and me, we're gonna have some adventures.",29,"[set(), set(), set()]"
bran stark,You don't have to do any of this.,29,[set()]
osha,"Your family took me in and was good to me when they had no cause to be. Shhh. We'll be fine, you and me. The Umbers are great warriors. Even I heard about them growing up. They'll teach you how to swing a sword.",29,"[set(), set(), set(), {'umbers'}, set(), set()]"
rickon,I know how to swing a sword.,29,[set()]
bran stark,You're leaving now? It's the middle of the night.,29,"[set(), set()]"
osha,I learned to walk in darkness.,29,[set()]
osha,"Say your good-byes, little man.",29,[set()]
osha,Keep this one safe. He means the world to me.,29,"[set(), set()]"
daenerys targaryen,"We've been waiting a long time. Haven't we? Well I don't know, you tell me. How long does it take to sack a city?",29,"[set(), set(), set(), set()]"
jorah mormont,It was just as you said. They did not believe until it was too late. Their slave soldiers threw down their spears and surrendered.,29,"[set(), set(), set()]"
daenerys targaryen,And Daario Naharis?,29,[{'daario'}]
daario,"The city is yours, my queen.",29,[set()]
talisa,"They're good, aren't they?",29,[set()]
lothar,They ought to be because they cost enough.,29,[set()]
blackfish,Look at the crowd there.,29,[set()]
catelyn stark,He complained about this marriage the entire ride from Riverrun and now look at him.,29,[set()]
blackfish,The Godo s love to reward a fool.,29,[set()]
catelyn stark,Uncle.,29,[set()]
blackfish,"What? He's my nephew, I love him. And he's a damned fool.",29,"[set(), set(), set()]"
catelyn stark,"Don't you drink, Lord Bolton?",29,[{'bolton'}]
roose,"Never do, my lady. Dulls the senses.",29,"[set(), set()]"
blackfish,That's the point. Didn't you marry one of these Frey girls?,29,"[set(), {'frey'}]"
roose,"Aye. Lord Walder let me choose any of his granddaughters and promised me the girl's weight in silver as a dowry. So I have a fat, young bride.",29,"[set(), {'walder'}, set()]"
catelyn stark,I hope she makes you very happy.,29,[set()]
roose,"Well, she's made me very rich.",29,[set()]
blackfish,"Pardon, my lord, my lady. I need to find a tree to piss on.",29,"[set(), set()]"
robb stark,My mother's alone with Roose Bolton. I should rescue her.,29,"[{'roose'}, set()]"
talisa,Your mother is less in need of rescue than any woman I've ever met.,29,[set()]
robb stark,Be kind. She's finally starting to like you.,29,"[set(), set()]"
talisa,"And I like her. But if she had her way, I would be back in Volantis, playing my harp and you would be sitting over there , eating blackberries out of Roslin Frey's hand.",29,"[set(), {'roslin'}]"
robb stark,Perhaps I've made a terrible mistake.,29,[set()]
robb stark,Striking your king is an act of treason.,29,[set()]
talisa,"No, don't. Don't insult them.",29,"[set(), set()]"
walder,Your Grace.,29,[set()]
walder,"The Septon has prayed his prayers, some words were said and Lord Edmure has wrapped my daughter in a cloak. But they are not yet man and wife. A sword needs a sheath . And a wedding needs a bedding . What does my sire say?",29,"[{'edmure'}, set(), set(), set(), set()]"
everybody,To bed! To bed! To bed!,29,"[set(), set(), set()]"
robb stark,"If you think the time is right, Lord Walder, by all means, let us bed them.",29,[{'walder'}]
edmure,"Ho-ho! Careful now, ladies. Once you set that monster free, there's no caging him again .",29,"[set(), set(), set()]"
catelyn stark,Poor girl.,29,[set()]
roose,Every bride suffers the same. I'm sure you endured yours with grace.,29,"[set(), set()]"
catelyn stark,"Oh, Ned forbade it. He said it wouldn't be right if he broke a man's jaw on our wedding night.",29,"[{'ned'}, set()]"
talisa,That is a very strange custom.,29,[set()]
robb stark,I suppose it does seem strange from a foreigner's perspective.,29,[set()]
talisa,It seems normal to you?,29,[set()]
robb stark,"It's tradition. Without the bedding ceremony, there's no real proof the lord and lady consummated their marriage.",29,"[set(), set()]"
talisa,"No, but there are other ways of providing proof.",29,[set()]
robb stark,Boy or girl?,29,[set()]
talisa,"I don't know. But if it's a boy, I know what we should name him.",29,"[set(), set()]"
robb stark,"Oh, do you? It seems to me the father should have some say in his son's naming.",29,"[set(), set()]"
talisa,Eddard. Don't you want to teach little Ned Stark how to ride horses?,29,"[{'eddard'}, {'ned'}]"
robb stark,I do.,29,[set()]
sandor clegane,"Whoa, whoa, whoa, whoa.",29,[set()]
frey guard,Where are you going?,29,[set()]
sandor clegane,Got salt pork for the feast.,29,[set()]
frey guard,The feast is over.,29,[set()]
sandor clegane,It doesn't sound like it's over.,29,[set()]
frey guard,"If I tell you it's over, it's over. Turn this cart around and get the hell out of here.",29,"[set(), set()]"
sandor clegane,"Got pig's feet, too .",29,[set()]
frey guard,Are you soft in the head? Turn this cart around!,29,"[set(), set()]"
walder,I feel I've been remiss in my duties.,29,[set()]
walder,I've given you meat and wine and music but I haven't shown you the hospitality you deserve. My king has married and I owe my new queen a wedding gift.,29,"[set(), set()]"
catelyn stark,Robb!,29,[{'robb'}]
man,"You ready to head home to Winterfell, eh?",29,[set()]
man,"Feast over yet, is it?",29,[set()]
frey man,"Aye, it's over!",29,[set()]
sandor clegane,It's too late.,29,[set()]
walder,"The King in the North arises, heh heh.",29,[set()]
catelyn stark,"Lord Walder! Lord Walder, enough! Let it end! Please! He is my son! My first son! Let him go and I swear that we will forget this! I swear it by the Old Gods and New! We will take no vengeance.",29,"[{'walder'}, {'walder'}, set(), set(), set(), set(), set(), set(), set()]"
walder,"You already swore me one oath right here in my castle. You swore by all the Gods, your son would marry my daughter!",29,"[set(), set()]"
catelyn stark,"Take me for a hostage but let Robb go! Robb, get up! Get up and walk out! Please! Please!",29,"[{'robb'}, {'robb'}, set(), set(), set()]"
walder,And why I would let him do that?,29,[set()]
catelyn stark,"On my honor as a Tully, on my honor as a Stark, let him go or I will cut your wife's throat!",29,[{'tully'}]
walder,I'll find another.,29,[set()]
robb stark,Mother.,29,[set()]
roose,The Lannisters send their regards.,29,[set()]
man,It's too late.,30,[set()]
man,Yah! Yah!,30,"[set(), set()]"
man,"Go, move out!",30,[set()]
frey men,The King in the North! The King in the North! The King in the North! The King in the North!,30,"[{'the'}, {'the'}, {'the'}, {'the'}]"
frey men,The King in the North! The King in the North!,30,"[{'the'}, {'the'}]"
frey man,Here comes the King in the North! Here comes the King in the North!,30,"[set(), set()]"
frey man,Here comes,30,[set()]
tyrion lannister,Hmm. Ser Eldrick Sarsfield and Lord Desmond Crakehall. Ser Eldrick Sarsfield and Lord Desmond Crakehall.,30,"[set(), {'desmond', 'eldrick'}, {'desmond', 'eldrick'}]"
sansa stark,What are you doing?,30,[set()]
tyrion lannister,I have a list.,30,[set()]
sansa stark,A list of people you mean to kill?,30,[set()]
tyrion lannister,"For laughing at me? Do I look like Joffrey to you? No, death seems a bit extreme. Fear of death, on the other hand-",30,"[set(), {'joffrey'}, set(), set()]"
sansa stark,You should learn to ignore them.,30,[set()]
tyrion lannister,"My lady, people have been laughing at me far longer than they've been laughing at you. I'm the Halfman, the Demon Monkey, the Imp.",30,"[set(), set()]"
sansa stark,You're a Lannister. I am the disgraced daughter of the traitor Ned Stark.,30,"[{'lannister'}, {'ned'}]"
tyrion lannister,The disgraced daughter and the Demon Monkey. We're perfect for each other.,30,"[{'the'}, set()]"
sansa stark,So how should we punish them?,30,[set()]
tyrion lannister,Who? Whom?,30,"[set(), set()]"
sansa stark,Ser Eldrick Sarsfield and Lord Desmond Crakehall.,30,"[{'desmond', 'eldrick'}]"
tyrion lannister,Ah. I could speak to Lord Varys and learn their perversions. Anyone named Desmond Crakehall must be a pervert.,30,"[set(), {'varys'}, {'desmond'}]"
sansa stark,I hear that you're a pervert.,30,[set()]
tyrion lannister,I am the Imp. I have certain standards to maintain.,30,"[set(), set()]"
sansa stark,"We could sheep shift Lord Desmondo s bed. You cut a little hole in his mattress and you stuff sheep dung inside. Then you sew up the hole and make his bed again. His room will stink, but he won't know where it's coming from.",30,"[{'desmondo'}, set(), set(), set()]"
tyrion lannister,Lady Sansa!,30,[{'sansa'}]
sansa stark,My sister used to do that when she was angry with me. And she was always angry with me.,30,"[set(), set()]"
tyrion lannister,Why sheep shift?,30,[set()]
sansa stark,That's the vulgar word for dung.,30,[set()]
tyrion lannister,My lady-,30,[set()]
sansa stark,"Well, you asked me.",30,[set()]
girl,Oh! That's him!,30,"[set(), set()]"
podrick,"My lord, my lady. Your father has called a meeting of the small council.",30,"[set(), set()]"
tyrion lannister,Killed a few puppies today?,30,[set()]
joffrey lannister,"Show him. Come on, show him.",30,"[set(), set()]"
pycelle,"Oh, apologies, my lord. Old fingers.",30,"[set(), set()]"
tyrion lannister,Roslin caught a fine fat trout. Her brothers gave her a pair of wolf pelts for her wedding. Signed Walder Frey.' Is that bad poetry or is it supposed to mean something?,30,"[{'roslin'}, set(), {'walder'}, set()]"
joffrey lannister,Robb Stark is dead. And his bitch mother. Write back to Lord Frey. Thank him for his service and command him to send Robb Stark's head. I'm going to serve it to Sansa at my wedding feast.,30,"[{'robb'}, set(), {'frey'}, {'robb'}, {'sansa'}]"
varys,"Your Grace, Lady Sansa is your aunt by marriage.",30,[{'sansa'}]
cersei lannister,A joke. Joffrey did not mean it.,30,"[set(), {'joffrey'}]"
joffrey lannister,"Yes, I did. I'm going to have it served to Sansa at my wedding feast.",30,"[set(), {'sansa'}]"
tyrion lannister,No. She is no longer yours to torment.,30,"[set(), set()]"
joffrey lannister,"Everyone is mine to torment. You'd do well to remember that, you little monster.",30,"[set(), set()]"
tyrion lannister,"Oh, I'm a monster. Perhaps you should speak to me more softly, then. Monsters are dangerous and just now kings are dying like flies.",30,"[set(), set(), set()]"
joffrey lannister,I could have your tongue out for saying that.,30,[set()]
cersei lannister,Let him make his threats. Hmm? He's a bitter little man.,30,"[set(), set(), set()]"
pycelle,"Lord Tyrion should apologize immediately. Unacceptable, disrespectful, and in very bad taste.",30,"[{'tyrion'}, set()]"
joffrey lannister,I am the king! I will punish you.,30,"[set(), set()]"
tywin lannister,"Any man who must say, 'I am the king' is no true king. I'll make sure you understand that when I've won your war for you.",30,"[set(), set()]"
joffrey lannister,My father won the real war. He killed Prince Rhaegar. He took the crown while you hid under Casterly Rock!,30,"[set(), {'rhaegar'}, set()]"
tywin lannister,The king is tired. See him to his chambers.,30,"[set(), set()]"
cersei lannister,Come along.,30,[set()]
joffrey lannister,I'm not tired.,30,[set()]
cersei lannister,We have so much to celebrate. A wedding to plan. You must rest.,30,"[set(), set(), set()]"
tywin lannister,"Grand Maester, perhaps some essence of nightshade to help him sleep.",30,[set()]
joffrey lannister,I'm not tired!,30,[set()]
cersei lannister,Come.,30,[set()]
tywin lannister,Not you.,30,[set()]
tyrion lannister,You just sent the most powerful man in Westeros to bed without his supper.,30,[set()]
tywin lannister,You're a fool if you believe he's the most powerful man in Westeros.,30,[set()]
tyrion lannister,A treasonous statement. Joffrey is king.,30,"[set(), {'joffrey'}]"
tywin lannister,You really think a crown gives you power?,30,[set()]
tyrion lannister,No. I think armies give you power.,30,"[set(), set()]"
tywin lannister,Mm-hmm.,30,[set()]
tyrion lannister,"Robb Stark had one, never lost a battle, and you defeated him all the same.",30,[{'robb'}]
tyrion lannister,"Oh, I know. Walder Frey gets all the credit. Or the blame, I suppose, depending on your allegiance. Walder Frey is many things, but a brave man? No. He never would have risked such an action if he didn't have certain assurances.",30,"[set(), {'walder'}, set(), {'walder'}, set(), set()]"
tywin lannister,Which he got from me. Do you disapprove?,30,"[set(), set()]"
tyrion lannister,I'm all for cheating. This is war.,30,"[set(), set()]"
tywin lannister,But to slaughter them at a wedding. Explain to me why it is more noble to kill ten thousand men in battle than a dozen at dinner.,30,"[set(), set()]"
tyrion lannister,So that's why you did it? To save lives?,30,"[set(), set()]"
tywin lannister,"To end the war. To protect the family. Do you want to write a song for the dead Starks? Go ahead, write one. I'm in this world a little while longer to defend the Lannisters, to defend my blood.",30,"[set(), set(), set(), set(), set()]"
tyrion lannister,The Northerners will never forget.,30,[set()]
tywin lannister,Good. Let them remember what happens when they march on the south. All the Stark men are dead. Winterfell is a ruin. Roose Bolton will be named Warden of the North until your son by Sansa comes of age.,30,"[set(), set(), {'stark'}, set(), {'sansa', 'roose'}]"
tywin lannister,I believe you still have some work to do on that score.,30,[set()]
tyrion lannister,Do you think she'll open her legs for me after I tell her how we murdered her mother and brother?,30,[set()]
tywin lannister,"One way or another, you will get that girl pregnant.",30,[set()]
tyrion lannister,I will not rape her.,30,[set()]
tywin lannister,Shall I explain to you in one easy lesson how the world works?,30,[set()]
tyrion lannister,Use small words. I'm not as bright as you.,30,"[set(), set()]"
tywin lannister,The house that puts family first will always defeat the house that puts the whims and wishes of its sons and daughters first. A good man does everything in his power to better his family's position regardless of his own selfish desires.,30,"[set(), set()]"
tywin lannister,Does that amuse you?,30,[set()]
tyrion lannister,"No, it's a very good lesson. Only it's easy for you to preach utter devotion to family when you're making all the decisions.",30,"[set(), set()]"
tywin lannister,"Easy for me, is it?",30,[set()]
tyrion lannister,When have you ever done something that wasn't in your interest but solely for the benefit of the family?,30,[set()]
tywin lannister,"The day that you were born. I wanted to carry you into the sea and let the waves wash you away. Instead, I let you live. And I brought you as my son. Because you're a Lannister.",30,"[set(), set(), set(), set(), {'lannister'}]"
tyrion lannister,Sansa.,30,[{'sansa'}]
meera,It's empty.,30,[set()]
jojen,Let's find a place to sleep.,30,[set()]
hodor,Hodor. Hodor.,30,"[{'hodor'}, {'hodor'}]"
bran stark,"Don't, Hodor.",30,[{'hodor'}]
bran stark,Maybe we shouldn't stay.,30,[set()]
meera,You'd rather be out there?,30,[set()]
bran stark,There are a lot of stories about this place. Horrible stories.,30,"[set(), set()]"
jojen,I always quite liked the horrible stories.,30,[set()]
bran stark,So did I. Once.,30,"[set(), set()]"
bran stark,You ever heard about the Rat Cook?,30,[{'the'}]
meera,No. Who's he?,30,"[set(), set()]"
bran stark,"Just a cook in the Night's Watch. He was angry at the king for something, I don't remember. When the king was visiting the Nightfort, the cook killed the king's son, cooked him into a big pie with onions, carrots, mushrooms and bacon. That night he served the pie to the king. He liked the taste of his son so much, he asked for a second slice. The gods turned the cook into a giant white rat who could only eat his own young. He's been roaming the Nightfort ever since, devouring his own babies. But no matter what he does, he's always hungry.",30,"[set(), set(), set(), set(), set(), set(), set(), set()]"
meera,If the gods turned every killer into a giant white rat-,30,[set()]
bran stark,It wasn't for murder the gods cursed the Rat Cook or for serving the king's son in a pie. He killed a guest beneath his roof. That's something the gods can't forgive.,30,"[{'the'}, set(), set()]"
walder frey,"The late Walder Frey,' old Hoster called me because I didn't get my men to the Trident in time for battle. He thought he was witty. Look at us now, Tully. You're dead, your daughter Catelyn's dead, your grandson's dead, your son spent his wedding night in a dungeon, and I'm Lord of Riverrun.",30,"[{'hoster', 'walder'}, set(), {'tully'}, {'catelyn'}]"
roose bolton,The Blackfish escaped.,30,[set()]
walder frey,An old man on the run with no allies. I have Tywin Lannister backing me. Who does he have?,30,"[set(), {'tywin'}, set()]"
roose bolton,As you say.,30,[set()]
walder frey,"They all laughed at me, all those high lords. They all thought they were better than me. Ned Stark, Hoster Tully. People snigger when I marry a young girl, but who said a word when Jon Arryn married the little Tully bitch?",30,"[set(), set(), {'hoster', 'ned'}, {'jon', 'tully'}]"
roose bolton,You'll be needing a new young girl.,30,[set()]
walder frey,Yeah. Got that to look forward to.,30,"[set(), set()]"
walder frey,"And you, the Warden of the North. No more Starks to bow and scrape to. Must have been torture following that stupid boy all over the country.",30,"[{'the'}, set(), set()]"
roose bolton,He ignored my advice at every turn. If he'd been a trifle less arrogant-,30,"[set(), set()]"
walder frey,Calling himself the Young Wolf. How's that for pomposity?,30,"[{'the'}, set()]"
walder frey,"Well, here's to the Young Wolf!",30,[{'the'}]
roose bolton,Forever young.,30,[set()]
walder frey,Will you move to Winterfell now that the war's over?,30,[set()]
roose bolton,At some point perhaps. But Winterfell's in ruins.,30,"[set(), set()]"
walder frey,"Yeah. What happened up there? I heard the Greyjoy boy seized the place. I heard he killed all the ravens. And after that, nothing.",30,"[set(), set(), {'greyjoy'}, set(), set()]"
roose bolton,I sent my bastard Ramsay to root him out. Robb Stark offered amnesty for the Ironborn if they gave us Theon.,30,"[{'ramsay'}, {'theon', 'robb'}]"
walder frey,Oh. And?,30,"[set(), set()]"
roose bolton,Ramsay delivered the terms. The Ironborn turned on Theon as we knew they would. They handed him over trussed and hooded. But Ramsay- well Ramsay has his own way of doing things.,30,"[{'ramsay'}, {'theon'}, set(), {'ramsay'}]"
ramsay bolton,"Well, the girls weren't lying. You had a good-sized cock.",30,"[set(), set()]"
ramsay bolton,What? No. Pork sausage. You think I'm some sort of savage?,30,"[set(), set(), set(), set()]"
ramsay bolton,People talk about phantom limbs. An amputee might have an itch where his foot used to be. So I've always wondered do eunuchs have a phantom cock?,30,"[set(), set(), set()]"
ramsay bolton,"Next time you think about naked girls, would you feel an itch?",30,[set()]
ramsay bolton,Sorry. I shouldn't make jokes. My mother taught me not to throw stones at cripples.,30,"[set(), set(), set()]"
ramsay bolton,But my father taught me to aim for their head.,30,[set()]
theon greyjoy,Kill me.,30,[set()]
ramsay bolton,"Sorry, what?",30,[set()]
ramsay bolton,A little louder.,30,[set()]
theon greyjoy,Kill me!,30,[set()]
ramsay bolton,You're no good to me dead. We need you.,30,"[set(), set()]"
ramsay bolton,"You don't look like a Theon Greyjoy anymore. That's a name for a lord. But you're not a lord, are you? You're just meat.",30,"[{'a'}, set(), set(), set()]"
ramsay bolton,Stinking meat.,30,[set()]
ramsay bolton,You reek. Reek! That's a good name for you. What's your name?,30,"[set(), set(), set(), set()]"
theon greyjoy,Theon Greyjoy.,30,[{'theon'}]
ramsay bolton,What's your name?,30,[set()]
theon greyjoy,Th- Theon Greyjoy.,30,[{'theon'}]
theon greyjoy,Please.,30,[set()]
ramsay bolton,What is your name?!,30,"[set(), set()]"
theon greyjoy,Reek. My name is Reek.,30,"[set(), {'reek'}]"
bran stark,Hodor.,30,[{'hodor'}]
sam,Don't kill me!,30,[set()]
meera,Who are you?,30,[set()]
gilly,Sam! Sam!,30,"[{'sam'}, {'sam'}]"
meera,Who are you?!,30,"[set(), set()]"
gilly,Gilly. Don't hurt us.,30,"[set(), set()]"
